modelo,accuracy,precision,recall,f1_score
LogisticRegression,0.9211409395973155,0.8956043956043956,0.9731343283582089,0.932761087267525
RandomForest,0.9060402684563759,0.876010781671159,0.9701492537313433,0.9206798866855525
GradientBoosting,0.924496644295302,0.8897849462365591,0.9880597014925373,0.9363507779349364
